id,category,mzungu_message
1,Wants/Needs,"Naomba towel, is that ok kusema hivyo?"
2,Farewell,"Kwaheri teacher, see you next lesson, asante kwa msaada wako!"
3,Shopping,How much ni gari? Naomba unipunguzie.
4,Shopping,"Punguza bei tafadhali, this is my kwanza time hapa."
5,Wants/Needs,"I want soup kidogo, unaweza kunisaidia?"
6,Culture,"I heard 'Karibu' inatumika sana, when exactly tunaitumia?"
7,Farewell,"Tutaonana kesho, is that a correct njia ya kuaga?"
8,Greetings mix,"Shikamoo teacher, how unaendeleaje?"
9,Transport,Basi hili linaenda wapi? I'm confused na maneno mengi.
10,Actions/Verbs,"Nita-walk kesho, is that sentensi sahihi?"
11,Health,"Naomba dawa, is duka la dawa sawa na pharmacy?"
12,Locations,"Nataka kwenda ufukweni, unaweza kunielekeza?"
13,Wants/Needs,"I want banana kidogo, unaweza kunisaidia?"
14,Politeness,"Pole sana kwa kuchelewa, traffic ilikuwa mbaya sana."
15,Locations,How do I get to the mosque? Tafadhali nisaidie kwa maneno sahihi.
16,Small talk,Family yako iko wapi? Is that correct kuuliza hivyo?
17,Greetings mix,"Hujambo! I am nzuri leo, na wewe?"
18,Learning/Classroom,"Ninajifunza Kiswahili but sijui grammar vizuri, help please."
19,Greetings mix,Good morning mwalimu! Habari zenu?
20,Small talk,"Napenda sana chakula cha Kitanzania, especially kuku!"
21,Locations,"Nataka kwenda uwanjani, unaweza kunielekeza?"
22,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu vivumishi?"
23,Locations,"Nataka kwenda hotelini, unaweza kunielekeza?"
24,Wants/Needs,"Naomba sugar, is that ok kusema hivyo?"
25,Locations,"Nataka kwenda ofisini, unaweza kunielekeza?"
26,Wants/Needs,"Nataka mbuzi, tafadhali, do you have?"
27,Locations,Where is gari? Sielewi jinsi ya kuuliza kwa usahihi.
28,Numbers/Time,Saa ngapi sasa? I always confuse namba za saa.
29,Greetings mix,"Habari za asubuhi, teacher! Ni fine sana leo."
30,Learning/Classroom,How do you say 'fear' kwa Kiswahili sahihi?
31,Greetings mix,"Mambo vipi? I'm doing fine, asante sana!"
32,Learning/Classroom,Unaweza kurudia tena? Sikuelewa neno la mwisho.
33,Shopping,How much ni nanasi? Naomba unipunguzie.
34,Numbers/Time,Leo ni tarehe gani? Sijui jinsi ya kuuliza date sahihi.
35,Greetings mix,"Habari za asubuhi, teacher! Ni excited sana leo."
36,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu familia?"
37,Transport,Nauli ni bei gani mpaka benki? Please explain kwa taratibu.
38,Locations,"Nataka kwenda stesheni, unaweza kunielekeza?"
39,Actions/Verbs,How do I say 'I want to write' kwa usahihi?
40,Culture,What does 'Hakuna matata' actually maanisha kwa undani?
41,Shopping,Bei gani ya blanketi? It's too expensive kwa mimi.
42,Actions/Verbs,"Ninataka ku-eat nyama, sijui vitenzi vizuri."
43,Wants/Needs,"Naomba table, is that ok kusema hivyo?"
44,Small talk,Unafanya kazi gani? I am curious kujua zaidi kuhusu wewe.
45,Actions/Verbs,"Ninataka ku-drink kiazi, sijui vitenzi vizuri."
46,Numbers/Time,How do I count from one mpaka kumi kwa Kiswahili?
47,Shopping,"Ninataka kununua goat, do you accept mobile money?"
48,Small talk,"Napenda sana chakula cha Kitanzania, especially embe!"
49,Small talk,"Napenda sana chakula cha Kitanzania, especially nanasi!"
50,Health,"My stomach linauma, sijui neno sahihi la 'stomach'."
